z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.023810872536953312, 2.7532367446970007, 1.0344351724757041e-213, 361.81358129794768, 0.72186211237787867, 0.27543855911808462, 1.8768869225962736e-05, 5.452231050897953e-06, 0.15098300816150328, 6.5085327797004375e-05, 0.0023041832615200361, 0.00026725254352906854, 4.4247862779979871e-05, 2.7914910828607423e-12, 2.753574709702336e-13, 3.1356734566532916e-14, 7.2502047413957244e-14, 1.4680803371243083e-14, 7.64013863583755e-10, 1.7997309001571445e-10, 2.4282310031583927e-12, 4.3449731732284938e-12, 0.57087344167056353, 
0.023812749814065112, 2.7874229180137533, 1.034434983195505e-213, 366.63980375284552, 0.71300833243777018, 0.27458475478219779, 2.3967181987996124e-05, 6.2413740367490019e-06, 0.15100688556481046, 7.6602566631657295e-05, 0.0025694975494572614, 0.00029119582533742645, 4.830181059903036e-05, 3.107343001952049e-12, 3.0966386749887562e-13, 3.4004781898613915e-14, 8.1669453424427966e-14, 2.1469005470197565e-14, 8.8151993080755045e-10, 1.9575239838363719e-10, 2.8655060631510567e-12, 4.937781253654395e-12, 0.57139255225631191, 
0.023814627091176911, 2.8239731464389424, 1.0344347998616683e-213, 371.79264807525101, 0.70377931637887803, 0.27370133640972821, 3.0450525702827466e-05, 7.1540361754031462e-06, 0.15102120643120603, 9.0061541830484319e-05, 0.0028613826302165343, 0.0003156184935106323, 5.2535356456033328e-05, 3.4630599033593815e-12, 3.4874080643007071e-13, 3.6882984316050592e-14, 9.1899735419339205e-14, 3.1392084954510559e-14, 1.0166434980302499e-09, 2.1149378511402296e-10, 3.3778286722712753e-12, 5.6036633326075691e-12, 0.57192025333408314, 
0.023816504368288711, 2.8629556115972679, 1.0344346995446976e-213, 377.28175988279719, 0.69419573503406173, 0.27278816587386867, 3.8484251473353703e-05, 8.2077189217300557e-06, 0.15102508743383589, 0.00010570911728257382, 0.0031815202627090422, 0.00034018359688808852, 5.6924397625386297e-05, 3.864616854926827e-12, 3.9339604189340953e-13, 4.0009993133241377e-14, 1.0329400102711151e-13, 4.586950048777151e-14, 1.1716789021609917e-09, 2.2687254310185038e-10, 3.9767229738446958e-12, 6.3489147803618451e-12, 0.57245571593407085, 
0.02381838164540051, 2.904425726858388, 1.0344346041744869e-213, 383.11507207435437, 0.68428289752404159, 0.2718451837708612, 4.8373075595121213e-05, 9.4213964075069665e-06, 0.15101766736867339, 0.00012379349441708944, 0.0035315361540862694, 0.00036451678902352176, 6.1441397162136021e-05, 4.3191142872350896e-12, 4.4461017075637788e-13, 4.3406085548877647e-14, 1.1595981964260173e-13, 6.693532803174284e-14, 1.3491192147151323e-09, 2.4153583457407352e-10, 4.6752029811383896e-12, 7.1796957792075214e-12, 0.57299806494627381, 
0.02382025892251231, 2.948423865291566, 1.0344344989337358e-213, 389.29854924354061, 0.67407053582265997, 0.27087238753938075, 6.0462914705249856e-05, 1.0815339787952165e-05, 0.15099811917178813, 0.00014455410284869036, 0.0039129748463130479, 0.00038821900444064396, 6.6056035171796335e-05, 4.8350149738568825e-12, 5.0357762796393758e-13, 4.7093366699321423e-14, 1.300113509616805e-13, 9.7483424682881854e-14, 1.5516520366328855e-09, 2.5511775124590114e-10, 5.4879186601057374e-12, 8.1018483753544547e-12, 0.5735464092195911, 
0.02382213619962411, 2.9949740488548136, 1.0344344009376675e-213, 395.83596298052856, 0.66359239734706954, 0.26986984738303255, 7.5141792286619711e-05, 1.2410867783833739e-05, 0.15096565512256746, 0.00016820950193955362, 0.004327275719287255, 0.00041088204846554505, 7.0735909005615374e-05, 5.4224266102993268e-12, 5.7175670899713042e-13, 5.1096011836278182e-14, 1.4556950021375573e-13, 1.4159702589929115e-13, 1.7821527449859948e-09, 2.6725769999203943e-10, 6.431311042096432e-12, 9.1206925835863931e-12, 0.57409983958433675, 
0.023824013476735909, 3.0440823513648798, 1.0344342500946074e-213, 402.72871126365362, 0.65288571294147157, 0.26883768855761653, 9.2839581017993059e-05, 1.4230029097867461e-05, 0.15091953643668571, 0.00019494377486893791, 0.0047757512099076433, 0.00043210611693794015, 7.5447219805151725e-05, 6.0934359133892814e-12, 6.5093007208786822e-13, 5.544053420400321e-14, 1.6276209885737101e-13, 2.0498437601696361e-13, 2.0436764606058826e-09, 2.7762089067719085e-10, 7.5237777249025486e-12, 1.0240811222567298e-11, 0.57465745472783269, 
0.023825890753847709, 3.0957362493721861, 1.0344341128084607e-213, 409.97569415501039, 0.64199050619649634, 0.26777609997459473, 0.00011402640010726757, 1.6295232763115181e-05, 0.1508590781259764, 0.00022489220027820163, 0.0052595683189169675, 0.00045151791741659643, 8.0155387836785508e-05, 6.8625009637124562e-12, 7.4327736003124405e-13, 6.0156095358367855e-14, 1.817241337981952e-13, 2.9554386357877375e-13, 2.3394503228981844e-09, 2.8591917031360661e-10, 8.7858491246291388e-12, 1.1465836087017845e-11, 0.57521836378834557, 
0.023827768030959508, 3.1499040505849334, 1.0344339870963643e-213, 417.57325521336554, 0.63094881171861417, 0.26668532105541332, 0.00013920951312042725, 1.8628849509706295e-05, 0.15078365679005781, 0.00025812720951081595, 0.0057797341795208096, 0.00046878791451403402, 8.4825563804221614e-05, 7.7469081873126952e-12, 8.5146154164453834e-13, 6.5274849237066018e-14, 2.025980262358862e-13, 4.240823635830986e-13, 2.6728679895395979e-09, 2.9193019024000843e-10, 1.0240377172883358e-11, 1.2798251266010493e-11, 0.57578170592742173, 
0.023829645308071308, 3.2065351807028191, 1.0344338755198332e-213, 425.51519469266589, 0.6198038076311484, 0.26556564421338114, 0.00016892867335735441, 2.1252816444149235e-05, 0.15069271568546566, 0.00029464582027821374, 0.0063370862300919598, 0.0004836452089951434, 8.9423025647481346e-05, 8.7673008605001516e-12, 9.7873063764919521e-13, 7.0832332727456019e-14, 2.2553397549079315e-13, 6.0520844504647355e-13, 3.0474882042284712e-09, 2.9551281568980191e-10, 1.1912737280654387e-11, 1.4239230305036153e-11, 0.57634665494653825, 
0.023831522585183108, 3.2655607984147923, 1.0344338206599915e-213, 433.7928558227444, 0.60859892607522836, 0.26441740650736417, 0.0002037499371342844, 2.4188281364665005e-05, 0.15058577118972449, 0.00033435975831770925, 0.0069322871268096293, 0.00049588877890138999, 9.3913479334769407e-05, 9.9482855296981565e-12, 1.1290363372645424e-12, 7.6867901237775826e-14, 2.5069036758663648e-13, 8.5841700191076175e-13, 3.4670390691508022e-09, 2.9661699104718795e-10, 1.3831045415037694e-11, 1.5788523544022525e-11, 0.57691243113550994, 
0.023833399862294907, 3.3268950602270801, 1.0344337733169885e-213, 442.3952810323899, 0.59737697215405039, 0.26324098748126368, 0.00024425809172312803, 2.7455325873395892e-05, 0.15046241787300921, 0.00037708937848797739, 0.0075658242454851804, 0.0005053941646226103, 9.8263299537898016e-05, 1.1319122637242491e-11, 1.3071708863606392e-12, 8.3425220361894541e-14, 2.7823425351540375e-13, 1.2093734137928232e-12, 3.9354290748047085e-09, 2.9528682465351337e-10, 1.6026391548548671e-11, 1.744440850931952e-11, 0.57747830586161297, 
0.023835277139406707, 3.3904368077498228, 1.0344337417630281e-213, 451.30943014819513, 0.58617930014977448, 0.26203680535385832, 0.00029104794284177179, 3.1072803583370178e-05, 0.15032233309002185, 0.00042256222346182405, 0.0082380133223842397, 0.00051211515985865978, 0.00010243975637434826, 1.2914506765630685e-11, 1.5189233413736299e-12, 9.0552821038420612e-14, 3.0834189342697578e-13, 1.6913935057422892e-12, 4.4567652473162855e-09, 2.9165646484523696e-10, 1.8533091195234458e-11, 1.9203710638152877e-11, 0.57804360554493339, 
0.023837154416518506, 3.4560715885937756, 1.03443371541685e-213, 460.52044922325052, 0.57504508318795211, 0.26080531153916403, 0.00034471480555123637, 3.5058323389067216e-05, 0.15016528066701132, 0.00047041666944026129, 0.0089490056122282138, 0.00051608056746447724, 0.0001064112708060368, 1.4775440787740642e-11, 1.7712559689417582e-12, 9.8304730256725696e-14, 3.4119936092597131e-13, 2.347102779110636e-12, 5.0353779724376437e-09, 2.8593922107206189e-10, 2.1388956684204339e-11, 2.106189352206695e-11, 0.57860771516184406, 
